quarter,dong_code,industry_code,dong_name,industry_name,store_count,open_count,close_count,closure_rate,franchise_count
20242,11440630,CS100009,신수동,호프-간이주점,12,0,1,6.0,5
20242,11440630,CS100008,신수동,분식전문점,20,2,3,13.0,4
20242,11440630,CS100007,신수동,치킨전문점,2,0,0,0.0,10
20242,11440630,CS100003,신수동,일식음식점,8,1,1,11.0,1
20242,11440630,CS100006,신수동,패스트푸드점,3,0,0,0.0,7
20242,11440630,CS100002,신수동,중식음식점,7,0,0,0.0,0
20242,11440630,CS100001,신수동,한식음식점,71,3,7,9.0,8
20242,11440630,CS100005,신수동,제과점,12,1,0,0.0,2
20242,11440655,CS100006,서강동,패스트푸드점,15,1,1,4.0,10
20242,11440655,CS100001,서강동,한식음식점,139,15,9,6.0,17
20242,11440655,CS100002,서강동,중식음식점,17,0,0,0.0,1
20242,11440655,CS100003,서강동,일식음식점,47,4,4,8.0,5
20242,11440655,CS100004,서강동,양식음식점,58,4,4,7.0,1
20242,11440655,CS100005,서강동,제과점,25,3,2,6.0,7
20242,11440655,CS100007,서강동,치킨전문점,5,1,1,6.0,13
20242,11440655,CS100008,서강동,분식전문점,22,0,2,7.0,5
20242,11440655,CS100009,서강동,호프-간이주점,81,4,8,9.0,10
20242,11440655,CS100010,서강동,커피-음료,129,8,10,7.0,20
20242,11440660,CS100005,서교동,제과점,104,5,4,3.0,25
20242,11440660,CS100004,서교동,양식음식점,253,13,11,4.0,26
20242,11440660,CS100003,서교동,일식음식점,213,16,12,5.0,30
20242,11440660,CS100002,서교동,중식음식점,105,4,4,3.0,19
20242,11440660,CS100001,서교동,한식음식점,741,53,33,4.0,103
20242,11440660,CS100010,서교동,커피-음료,663,33,28,4.0,102
20242,11440660,CS100009,서교동,호프-간이주점,524,13,31,5.0,47
20242,11440660,CS100008,서교동,분식전문점,138,15,12,7.0,30
20242,11440660,CS100007,서교동,치킨전문점,25,0,3,5.0,37
20242,11440660,CS100006,서교동,패스트푸드점,86,5,9,7.0,40
20242,11440680,CS100010,합정동,커피-음료,153,4,6,3.0,28
20242,11440680,CS100001,합정동,한식음식점,167,11,2,1.0,22
20242,11440680,CS100009,합정동,호프-간이주점,113,3,2,2.0,9
20242,11440680,CS100008,합정동,분식전문점,25,0,0,0.0,5
20242,11440680,CS100007,합정동,치킨전문점,1,0,0,0.0,7
20242,11440680,CS100006,합정동,패스트푸드점,19,0,0,0.0,4
20242,11440680,CS100005,합정동,제과점,35,1,2,5.0,4
20242,11440680,CS100004,합정동,양식음식점,66,1,2,3.0,5
20242,11440680,CS100003,합정동,일식음식점,52,6,3,5.0,5
20242,11440680,CS100002,합정동,중식음식점,14,0,1,6.0,4
20242,11440690,CS100001,망원1동,한식음식점,159,9,3,2.0,8
20242,11440690,CS100005,망원1동,제과점,42,2,1,2.0,2
20242,11440690,CS100004,망원1동,양식음식점,59,2,6,10.0,4
20242,11440690,CS100003,망원1동,일식음식점,37,0,1,3.0,1
20242,11440690,CS100002,망원1동,중식음식점,15,0,0,0.0,2
20242,11440690,CS100010,망원1동,커피-음료,148,10,9,6.0,15
20242,11440690,CS100009,망원1동,호프-간이주점,56,1,3,5.0,2
20242,11440690,CS100008,망원1동,분식전문점,36,2,0,0.0,7
20242,11440690,CS100007,망원1동,치킨전문점,11,0,0,0.0,12
20242,11440690,CS100006,망원1동,패스트푸드점,16,0,0,0.0,9
20242,11440700,CS100009,망원2동,호프-간이주점,23,0,0,0.0,3
20242,11440700,CS100010,망원2동,커피-음료,74,4,6,7.0,10
20242,11440700,CS100008,망원2동,분식전문점,17,0,0,0.0,5
20242,11440700,CS100007,망원2동,치킨전문점,7,0,0,0.0,14
20242,11440700,CS100006,망원2동,패스트푸드점,8,1,0,0.0,6
20242,11440700,CS100005,망원2동,제과점,13,1,2,13.0,3
20242,11440700,CS100004,망원2동,양식음식점,9,1,0,0.0,1
20242,11440700,CS100003,망원2동,일식음식점,9,0,2,22.0,0
20242,11440700,CS100002,망원2동,중식음식점,12,1,1,8.0,0
20242,11440700,CS100001,망원2동,한식음식점,101,11,4,4.0,13
20242,11440710,CS100009,연남동,호프-간이주점,159,5,15,9.0,3
20242,11440710,CS100010,연남동,커피-음료,321,14,19,6.0,14
20242,11440710,CS100001,연남동,한식음식점,168,12,13,7.0,8
20242,11440710,CS100002,연남동,중식음식점,29,0,1,3.0,0
20242,11440710,CS100003,연남동,일식음식점,92,9,3,3.0,9
20242,11440710,CS100004,연남동,양식음식점,142,10,9,6.0,3
20242,11440710,CS100005,연남동,제과점,97,8,8,8.0,4
20242,11440710,CS100006,연남동,패스트푸드점,38,3,1,3.0,2
20242,11440710,CS100007,연남동,치킨전문점,3,0,1,10.0,7
20242,11440710,CS100008,연남동,분식전문점,35,4,2,5.0,3
20242,11440720,CS100008,성산1동,분식전문점,9,0,1,9.0,2
20242,11440720,CS100010,성산1동,커피-음료,69,6,5,7.0,7
20242,11440720,CS100001,성산1동,한식음식점,87,6,3,3.0,15
20242,11440720,CS100002,성산1동,중식음식점,8,0,0,0.0,0
20242,11440720,CS100003,성산1동,일식음식점,15,0,0,0.0,2
20242,11440720,CS100004,성산1동,양식음식점,17,2,1,6.0,1
20242,11440720,CS100005,성산1동,제과점,20,0,2,10.0,1
20242,11440720,CS100006,성산1동,패스트푸드점,11,1,2,12.0,6
20242,11440720,CS100007,성산1동,치킨전문점,3,0,0,0.0,6
